Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
SK6,NOX,01/01/2019 00:00,22.10000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 01:00,18.00000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 02:00,15.20000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 03:00,14.40000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 04:00,14.20000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 05:00,16.80000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 06:00,26.00000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 07:00,33.80000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 08:00,39.00000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 09:00,37.00000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 10:00,37.40000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 11:00,26.10000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 12:00,25.30000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 13:00,25.20000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 14:00,27.10000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 15:00,39.50000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 16:00,38.60000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 17:00,22.60000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 18:00,20.40000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 19:00,22.90000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 20:00,20.30000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 21:00,24.60000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 22:00,22.20000,ug m-3 as NO2,R
SK6,NOX,01/01/2019 23:00,18.50000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 00:00,16.40000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 01:00,17.10000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 02:00,17.10000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 03:00,13.90000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 04:00,15.90000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 05:00,21.70000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 06:00,34.40000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 07:00,36.40000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 08:00,46.50000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 09:00,52.00000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 10:00,43.70000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 11:00,42.50000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 12:00,48.50000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 13:00,41.60000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 14:00,32.60000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 15:00,41.20000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 16:00,42.20000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 17:00,46.90000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 18:00,54.60000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 19:00,54.60000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 20:00,46.20000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 21:00,44.20000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 22:00,40.10000,ug m-3 as NO2,R
SK6,NOX,02/01/2019 23:00,39.60000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 00:00,32.80000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 01:00,28.40000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 02:00,25.30000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 03:00,25.60000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 04:00,22.90000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 05:00,29.70000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 06:00,51.50000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 07:00,45.20000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 08:00,41.70000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 09:00,43.10000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 10:00,23.90000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 11:00,53.00000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 12:00,49.70000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 13:00,30.50000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 14:00,42.30000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 15:00,44.80000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 16:00,55.20000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 17:00,58.50000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 18:00,69.30000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 19:00,74.80000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 20:00,64.70000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 21:00,78.30000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 22:00,92.90000,ug m-3 as NO2,R
SK6,NOX,03/01/2019 23:00,80.70000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 00:00,80.70000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 01:00,83.40000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 02:00,64.80000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 03:00,42.10000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 04:00,33.90000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 05:00,36.20000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 06:00,47.60000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 07:00,59.50000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 08:00,71.80000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 09:00,87.80000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 10:00,79.60000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 11:00,68.90000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 12:00,47.10000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 13:00,41.60000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 14:00,47.20000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 15:00,45.60000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 16:00,46.90000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 17:00,78.30000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 18:00,82.70000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 19:00,74.40000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 20:00,87.90000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 21:00,97.40000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 22:00,80.50000,ug m-3 as NO2,R
SK6,NOX,04/01/2019 23:00,68.60000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 00:00,54.50000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 01:00,70.60000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 02:00,74.20000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 03:00,55.80000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 04:00,32.70000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 05:00,26.40000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 06:00,33.40000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 07:00,41.90000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 08:00,33.40000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 09:00,31.60000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 10:00,34.40000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 11:00,26.50000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 12:00,32.40000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 13:00,34.50000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 14:00,32.40000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 15:00,33.10000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 16:00,35.50000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 17:00,44.70000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 18:00,45.60000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 19:00,60.90000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 20:00,60.60000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 21:00,46.70000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 22:00,44.80000,ug m-3 as NO2,R
SK6,NOX,05/01/2019 23:00,65.70000,ug m-3 as NO2,R
SK6,NOX,06/01/2019 00:00,78.10000,ug m-3 as NO2,R
SK6,NOX,06/01/2019 01:00,75.20000,ug m-3 as NO2,R
SK6,NOX,06/01/2019 02:00,62.40000,ug m-3 as NO2,R
